Legal entity,Project ID,Activity number,Activity name,Project date,Resource.Resource ID,Resource.Resource name,Description,Role ID,Hours,Line property,Cost price,Total cost amount,Sales currency,Sales price,Total sales amount,Description2,Invoice status,Transaction ID
301,30100106,301000008831,Development (Feature),2025-01-02 00:00:00,212676,Skyler Owen,,2073,8,H,88,704,EUR,0,0,11018 11692 Wizard: Other materials,Nonchargeable,TR873919986476
301,30100106,301000008834,Documentation,2025-01-02 00:00:00,247052,Taylor Irving,,2040,3,H,89,267,EUR,210.25,630.75,,Nonchargeable,TR147543377362
301,30100106,301000008828,"Governance, Meetings (PM)",2025-01-02 00:00:00,245082,Kendall Davies,,2022,3,H,95,285,EUR,0,0,,Nonchargeable,TR351948207513
301,A301_000233_062,,,2025-01-02 00:00:00,279131,Riley Lambert,,2073,0.5,H,71.66,35.83,EUR,0,0,,Nonchargeable,TR421147883146
301,30100106,301000008831,Development (Feature),2025-01-03 00:00:00,212676,Skyler Owen,,2073,8,H,88,704,EUR,0,0,11018 11693 Wizard: oil gas,Nonchargeable,TR190130840140
301,30100106,301000008834,Documentation,2025-01-03 00:00:00,247052,Taylor Irving,,2040,7,H,89,623,EUR,210.25,1471.75,,Nonchargeable,TR357076632102
301,30100106,301000008828,"Governance, Meetings (PM)",2025-01-03 00:00:00,245082,Kendall Davies,,2022,3,H,95,285,EUR,0,0,,Nonchargeable,TR211095701426
301,30100151,301000003472,Development-Configuration-UnitTesting,2025-01-03 00:00:00,247052,Taylor Irving,,2040,1,H,89,89,EUR,0,0,Preparation,Nonchargeable,TR406575307735
301,30100151,301000003467,Project management,2025-01-03 00:00:00,234671,Drew Knight,,2022,1,H,93.81,93.81,EUR,0,0,Status go-live,Nonchargeable,TR797732084371
301,A301_000254_040,,,2025-01-04 00:00:00,205695,Jamie Reed,,2072,2,DN,73,146,EUR,0,0,,Nonchargeable,TR503014435550
301,A301_000254_040,,,2025-01-05 00:00:00,205695,Jamie Reed,,2072,2,DN,73,146,EUR,0,0,,Nonchargeable,TR504425519849
301,A301_000254_040,,,2025-01-05 00:00:00,295647,Logan Bennett,,2071,1,DN,85,85,EUR,0,0,,Nonchargeable,TR329159142739
